,director,director_gender,actor1,actor1_gender,actor2,actor2_gender,actor3,actor3_gender
161,Robert Zemeckis,2.0,Tom Hanks,2.0,Robin Wright,1.0,Gary Sinise,2.0
162,Mike Newell,2.0,Hugh Grant,2.0,Andie MacDowell,1.0,James Fleet,2.0
163,John Singleton,2.0,Omar Epps,2.0,Kristy Swanson,1.0,Michael Rapaport,2.0
164,Darnell Martin,1.0,Lauren Vélez,1.0,Jon Seda,2.0,Tomas Melly,0.0
165,Charles Shyer,2.0,Nick Nolte,2.0,Saul Rubinek,2.0,James Rebhorn,2.0
166,Ray Müller,0.0,Leni Riefenstahl,1.0,Marlene Dietrich,1.0,Walter Frentz,0.0
167,Roger Allers,2.0,Jonathan Taylor Thomas,2.0,Matthew Broderick,2.0,James Earl Jones,0.0
168,Bernardo Bertolucci,2.0,Keanu Reeves,2.0,Bridget Fonda,1.0,Chris Isaak,2.0
169,Wes Craven,2.0,Heather Langenkamp,1.0,Robert Englund,2.0,Miko Hughes,2.0
170,Chuck Russell,2.0,Jim Carrey,2.0,Cameron Diaz,1.0,Nancy Fish,1.0
171,Peter Segal,2.0,Leslie Nielsen,2.0,Priscilla Presley,1.0,George Kennedy,2.0
172,Ben Stiller,2.0,Winona Ryder,1.0,Ben Stiller,2.0,Janeane Garofalo,1.0
173,John Dahl,2.0,Nicolas Cage,2.0,Dennis Hopper,2.0,Lara Flynn Boyle,1.0
174,Jan de Bont,2.0,Keanu Reeves,2.0,Dennis Hopper,2.0,Sandra Bullock,1.0
175,Peter Hyams,2.0,Jean-Claude Van Damme,2.0,Mia Sara,1.0,Ron Silver,2.0
176,James Cameron,2.0,Arnold Schwarzenegger,2.0,Jamie Lee Curtis,1.0,Tom Arnold,2.0
177,Luis Mandoki,0.0,Andy García,2.0,Meg Ryan,1.0,Ellen Burstyn,1.0
178,Lawrence Kasdan,2.0,Kevin Costner,2.0,Dennis Quaid,2.0,Gene Hackman,2.0
179,Keenen Ivory Wayans,2.0,Keenen Ivory Wayans,2.0,Charles S. Dutton,2.0,Jada Pinkett Smith,1.0
180,Doug McHenry,2.0,Allen Payne,2.0,Jada Pinkett Smith,1.0,Bokeem Woodbine,2.0
181,Steven E. de Souza,2.0,Jean-Claude Van Damme,2.0,Raúl Juliá,2.0,Ming-Na Wen,1.0
182,Andrew Morahan,2.0,Christopher Lambert,2.0,Mario Van Peebles,2.0,Deborah Kara Unger,1.0
