,adjusted_revenue
1482,249728998.02
1483,211780620.83
1484,134603720.99
1485,48777037.67
1486,52719221.05
1487,41497056.87
1488,14715276.74
1489,93493963.49
1490,118533000.43
1491,7272194.13
1492,39469830.01
1493,181727865.5
1494,15317677.63
1495,19898060.09
1496,84650631.73
1497,48071870.48
1498,5307917.96
1499,3207362.2
1500,651432234.28
1501,5886107.36
1502,48999311.17
1503,19878439.03
1504,159435589.11
1505,30462015.57
1506,24484805.85
1507,93265409.0
1508,23709960.01
1509,504257477.17
1510,170465265.48
1511,29747522.24
1512,700640.9
1513,777760886.11
1514,81040783.25
1515,20706267.06
1516,547986495.39
1517,749979294.06
1518,710131062.85
1519,484894763.23
1520,247624070.53
1521,67656794.81
1522,236818220.61
1523,274129323.8
1524,18755449.38
1525,593868365.98
1526,28310464.98
1527,219440584.52
1528,60727542.98
1529,115356002.38
1530,339036943.98
1531,83082903.74
1532,46743359.13
1533,107159705.67
1534,82185351.73
1535,67813325.93
1536,66649271.11
1537,337662251.82
1538,66338236.39
1539,82534722.89
1540,37049559.84
1541,15064839.36
1542,40295316.82
1543,53323795.12
1544,41987580.32
1545,65674988.49
1546,337647669.43
1547,426741.52
1548,16179510.45
1549,2695666.73
1550,73396318.98
1551,21965675.13
1552,90168823.2
1553,164436969.89
1554,10767258.87
1555,63611004.89
1556,24601418.03
1557,29362211.55
1558,52318702.49
1559,320042709.8
1560,212481097.94
1561,306462598.06
1562,50012964.2
1563,463701109.76
1564,3795734.42
1565,46080055.06
1566,2427544.04
1567,53818755.32
1568,24501586.31
1569,12838388.54
1570,107840531.73
1571,28652731.13
1572,60698210.36
1573,49501054.84
1574,8045271.88
1575,58612434.38
1576,395749653.9
1577,3825969.78
1578,188818521.51
1579,168963139.22
1580,421827069.44
1581,7426892.77
1582,221297078.55
1583,64709634.25
1584,114666110.14
1585,105597861.54
1586,91866444.93
1587,175523763.59
1588,162155392.75
1589,270760991.97
1590,183461235.33
1591,37480352.93
1592,23092675.92
1593,32825986.89
1594,15095506.18
1595,9090064.3
1596,62774505.87
1597,189631386.0
1598,5259878.46
1599,215737.97
1600,148261537.91
1601,163241614.69
1602,156458516.44
1603,165650136.49
1604,160654820.07
1605,33727978.1
1606,42987177.89
1607,128751735.78
1608,22552721.2
1609,27224217.9
1610,67448723.0
1611,251383.87
1612,370899.24
1613,54909010.09
1614,56983725.3
1615,2483733.25
1616,194596313.38
1617,31397785.66
1618,25061032.41
1619,21897358.95
1620,57360814.68
1621,90574362.74
1622,10767258.87
1623,27633593.23
1624,470373441.33
1625,10519513.32
1626,19501383.8
1627,82571563.18
1628,156580453.87
1629,128656761.19
1630,79297197.26
1631,19296388.67
1632,375943328.24
1633,56168863.54
1634,69486005.52
1635,47634576.86
1636,702497610.42
1637,136773705.45
1638,52353807.83
1639,491294523.02
1640,261363767.64
1641,10050865.17
1642,353185890.92
1643,21615562.98
1644,306988590.24
1645,20320772.05
1646,46348014.96
1647,106132855.92
1648,412167171.51
1649,13082691.92
1650,94529642.93
1651,318349038.31
1652,7189471.55
1653,104410764.09
1654,118941177.48
1655,43594564.34
1656,217077935.66
1657,104169734.75
1658,241030964.4
1659,532532553.47
1660,113947530.72
1661,17093805.59
1662,12134321.84
1663,611563598.12
