,prod_company,num_movies,dom_box_office,int_box_office
348,IMAX Corporation,9,208686259,288243700
349,Big Kid Pictures,4,208434597,450459950
350,Mr. Mudd,10,207575892,325312133
351,Image Entertainment,7,206534235,553781353
352,Kevin Feige,1,206362140,644602516
353,Eric's Boy,1,206040085,312383487
354,Moving Pictures    ,1,206040085,312383487
355,Strike Entertainment,6,205381696,597688728
356,Robert Rehme,2,205300019,385600000
357,87Eleven Inc.,4,203783024,387627770
358,2Dux2,2,202577355,531793455
359,Samuel Goldwyn Films,21,201685194,454007639
360,Brandywine,2,200739115,641310296
361,Herrick Entertainment,4,200730790,282896198
362,Jon Peters,1,200120000,374085065
363,Smokehouse Pictures,8,199391142,379454412
364,Karz Entertainment,3,199339193,398918805
365,David Entertainment Company,2,198590336,447449374
366,Horseshoe Bay,3,198023124,353149242
367,Kennedy Miller,1,198000317,385000317
368,Flynn Picture Company,7,197736974,704965398
369,Whitaker Entertainment,3,197572797,302712649
370,Wayne Rice,4,197523151,417186358
371,Room 101,5,197003327,458262680
372,Eidos Interactive,2,196797941,430423128
373,Hey Eddie,3,196742778,351695429
374,Monkeypaw Pictures,3,196632518,275897198
375,Spring Creek Prod,5,196623743,390749098
376,Davis Films,7,196010257,1050216615
377,Access Entertainment,2,194865834,632235834
378,Peters Entertainment,3,194321493,331245147
379,Chartoff Winkler Productions,4,193788474,398945963
380,Wind Dancer Films,4,192036778,384276691
381,Gama Entertainment,2,191216282,485028891
382,Heavy Metal,1,191204754,485004754
383,Mednick Productions,1,191204754,485004754
384,Dark Castle Entertainment,7,191175380,338336595
385,Firm Films,4,188699003,347943197
386,Hutch Parker,2,187328850,595203850
387,Film 4,23,187243035,615929551
388,QC Entertainment,4,187196326,271768762
389,Studio Babelsberg,8,186498221,547935655
390,Golden Mean,1,186493587,310634169
391,Ivan Reitman Production,2,185330052,286013528
392,Guy Walks Into a Bar,2,185201772,270885216
393,Wanda Media,16,183687253,2373419456
394,Matt Groening,1,183135014,527071022
395,Smoke House Pictures,3,182763215,315120795
396,Baltimore Spring Creek Pictures,2,182693512,328786512
397,Hasbro Studios,3,181024693,707652025
398,T.D. Jakes,4,178790251,200679716
399,Alliance Films,9,177048476,349832612
400,Sean Daniel Company,3,177036797,575022372
401,Lord Miller,2,176266149,311606180
402,Goldcrest Films,17,176250700,377304290
403,Mandalay Vision,10,176125637,304291069
404,Ludlum Entertainment,1,176087450,288587450
405,Hemdale,2,175982359,215982359
406,Gilbert Films,10,175064514,470432550
407,Gulfstream Pictures,7,174429511,364503752
408,Harbinger Pictures,3,173710166,224288916
409,IMF,5,172019648,353877647
410,Ashok Amritraj,5,171838309,216766492
411,Groucho II Film Partnership,1,171479930,463517383
412,Producer Circle Company,1,170687518,306770545
413,Levantine Films,2,169698064,231891633
414,TTK Productions,2,169418043,260018043
415,EMI,1,169100479,340800479
416,Phillips,1,169100479,340800479
417,Geffen Pictures,2,168806385,287106385
418,Pandemonium,3,167968937,334211794
419,Nancy Tenenbaum,1,166225040,330425040
420,Envision Entertainment,5,165392367,277369508
421,Dino De Laurentiis,2,165092266,350100280
422,Darkwoods,2,164597416,328007708
423,Mike Zoss,3,164414058,305369700
424,Jaffe-Lansing Production,2,162845693,326300000
425,Captivate Entertainment,1,162192920,416197059
426,Radical Studios,2,161795849,531305247
427,Broken Chair Flickz,1,161197785,202182981
428,Crucial Films,1,161197785,202182981
429,LBI Entertainment,3,159535743,313840266
430,Sneaky Shark,1,158848340,336398312
431,Perfect Storm Entertainment,1,158848340,336398312
432,Douglas/Reuther,2,158192915,287116769
433,Blueprint Films,9,157494492,451387464
434,Wayans Brothers Entertainment,1,157019771,277200000
435,Gold-Miller,1,157019771,277200000
436,Feigco Entertainment,3,156677890,290977889
437,Wrigley Pictures,4,155485438,438629977
438,FPS,1,155190832,467151160
439,Huayi Brothers Pictures Ltd,7,154818283,412139304
440,TPS Star,9,154237528,306866110
441,Scholastic Entertainment Inc.,2,153990458,282166348
442,Kennedy Miller Mitchell Productions,1,153636354,370742166
443,Darren Star,1,152647258,415247258
444,Double Nickel Entertainment,3,152383406,278922990
445,Pure Flix,12,152366308,163236706
446,DreamWorks SKG,2,152215849,284313188
447,OddLot Entertainment,7,151511949,281755802
448,Imposter Pictures,2,151101803,434509690
449,Anabasis Investments,1,150415432,300400000
450,Newman/Tooley,1,150394119,267816276
451,Slap Happy Productions,1,150394119,267816276
452,DayDay Films,3,149696524,467251967
453,DisneyToon Studios,2,149440312,394459213
454,Cameron Mackintosh,1,148809770,442169052
455,Principato-Young Entertainment,6,148046316,238369298
456,Woods Entertainment,3,147953295,236764185
457,First Light,3,147679821,221874093
458,Lucamar,3,147679337,257011230
459,On The Day Productions,4,147602992,175060050
460,Ixtlan Productions,4,146467974,284503761
461,A&E Indiefilms,8,146403591,355124736
462,Aegis Film Fund,6,145948744,461222851
463,Clark Spencer,1,145771527,245800000
464,Electric City Entertainment,8,145617243,273720632
465,Bona Fide,12,145058328,269498879
466,Lawrence Mark,1,144801023,348629585
467,Mediastream IV,1,144801023,348629585
468,Fried Films,2,144645014,386393696
469,Molinare,5,144548590,448141663
470,Mediastream Film,1,144512310,206512310
471,Littlestar,2,144130063,615748877
472,China Film Co. LTD,4,144089443,648215207
473,Disney Nature,11,143913828,314999487
474,Reuben Cannon Productions,3,143860182,143860182
475,Zhong Ming You Ying Film,1,143528619,518614383
476,Oriental DreamWorks,1,143528619,518614383
477,The Fyzz Facility,26,142187208,279509388
478,Silverbell Films,1,141621490,417341288
479,Follow Through Productions,4,141590733,204875169
480,Sunday Night,3,141398511,220481935
481,Celador Films,1,141330703,384530440
482,Provident Films,8,140742994,147884950
483,Bold Films,13,140488543,260584513
484,MCEG,1,140088813,297100000
485,Franklin/Waterman,1,140015224,298815224
486,Evergreen Pictures,2,139802140,320505241
487,Rocket Pictures,3,139631415,251443704
488,Charles B. Wessler Entertainment,3,139386687,241770588
489,EON Enterprises,1,139270910,427300260
490,Momentum Pictures,13,138797449,431115890
491,Bedlam,1,138797449,430821168
492,Torridon Films,3,137554323,322041518
493,Crave Films,3,137329795,286278730
494,Harpo Films,3,136538493,191308689
495,Independent Pictures.,1,136314294,376000000
496,Vendian Entertainment,7,136060838,261130982
497,Oren Peli,2,135805005,282599959
498,Likely Story,13,135287014,292970896
499,Lava Bear Films,4,135149934,258300304
500,Ingenius Film Partners,1,134529403,382288147
501,Kickstart,3,134514698,342422607
502,Dovemead Ltd.,1,134218018,300200000
503,Offspring Entertainment,4,133797812,436077329
504,Media Asia Films,9,133297601,475449367
505,A Bigger Boat Productions,4,132972603,283746020
506,DDY,2,132893226,486469501
507,Amazon Studios,23,132804412,228189565
508,David Hoberman,1,132675402,164675402
509,Gregory Jacobs,2,132663967,206924453
510,Constance Marks Productions,2,132225529,289813126
511,Good Machine,2,132187304,245085504
512,Blue Tulip,1,132024714,358824714
513,Ronald Shusett,1,132024714,358824714
514,Gary Goldman,1,132024714,358824714
515,Right of Way Films,7,131573820,243671274
516,Virgin,4,131539480,254551628
517,Voltage Pictures,30,130539292,251263561
